,Pclass,Sex,Age,SibSp,Parch,Fare,Survived
686,3,1,14.0,4,1,39.6875,0
687,3,1,19.0,0,0,10.1708,0
688,3,1,18.0,0,0,7.7958,0
689,1,0,15.0,0,1,211.3375,1
690,1,1,31.0,1,0,57.0,1
691,3,0,4.0,0,1,13.4167,1
692,3,1,28.0,0,0,56.4958,1
693,3,1,25.0,0,0,7.225,0
694,1,1,60.0,0,0,26.55,0
695,2,1,52.0,0,0,13.5,0
696,3,1,44.0,0,0,8.05,0
697,3,0,28.0,0,0,7.7333,1
698,1,1,49.0,1,1,110.8833,0
699,3,1,42.0,0,0,7.65,0
700,1,0,18.0,1,0,227.525,1
701,1,1,35.0,0,0,26.2875,1
702,3,0,18.0,0,1,14.4542,0
703,3,1,25.0,0,0,7.7417,0
704,3,1,26.0,1,0,7.8542,0
705,2,1,39.0,0,0,26.0,0
706,2,0,45.0,0,0,13.5,1
707,1,1,42.0,0,0,26.2875,1
708,1,0,22.0,0,0,151.55,1
709,3,1,28.0,1,1,15.2458,1
710,1,0,24.0,0,0,49.5042,1
711,1,1,28.0,0,0,26.55,0
712,1,1,48.0,1,0,52.0,1
713,3,1,29.0,0,0,9.4833,0
714,2,1,52.0,0,0,13.0,0
715,3,1,19.0,0,0,7.65,0
716,1,0,38.0,0,0,227.525,1
717,2,0,27.0,0,0,10.5,1
718,3,1,28.0,0,0,15.5,0
719,3,1,33.0,0,0,7.775,0
720,2,0,6.0,0,1,33.0,1
721,3,1,17.0,1,0,7.0542,0
722,2,1,34.0,0,0,13.0,0
723,2,1,50.0,0,0,13.0,0
724,1,1,27.0,1,0,53.1,1
725,3,1,20.0,0,0,8.6625,0
726,2,0,30.0,3,0,21.0,1
727,3,0,28.0,0,0,7.7375,1
728,2,1,25.0,1,0,26.0,0
729,3,0,25.0,1,0,7.925,0
730,1,0,29.0,0,0,211.3375,1
731,3,1,11.0,0,0,18.7875,0
732,2,1,28.0,0,0,0.0,0
733,2,1,23.0,0,0,13.0,0
734,2,1,23.0,0,0,13.0,0
735,3,1,28.5,0,0,16.1,0
736,3,0,48.0,1,3,34.375,0
737,1,1,35.0,0,0,512.3292,1
738,3,1,28.0,0,0,7.8958,0
739,3,1,28.0,0,0,7.8958,0
740,1,1,28.0,0,0,30.0,1
741,1,1,36.0,1,0,78.85,0
742,1,0,21.0,2,2,262.375,1
743,3,1,24.0,1,0,16.1,0
744,3,1,31.0,0,0,7.925,1
745,1,1,70.0,1,1,71.0,0
746,3,1,16.0,1,1,20.25,0
747,2,0,30.0,0,0,13.0,1
748,1,1,19.0,1,0,53.1,0
749,3,1,31.0,0,0,7.75,0
750,2,0,4.0,1,1,23.0,1
751,3,1,6.0,0,1,12.475,1
752,3,1,33.0,0,0,9.5,0
753,3,1,23.0,0,0,7.8958,0
754,2,0,48.0,1,2,65.0,1
755,2,1,0.67,1,1,14.5,1
756,3,1,28.0,0,0,7.7958,0
757,2,1,18.0,0,0,11.5,0
758,3,1,34.0,0,0,8.05,0
759,1,0,33.0,0,0,86.5,1
760,3,1,28.0,0,0,14.5,0
761,3,1,41.0,0,0,7.125,0
762,3,1,20.0,0,0,7.2292,1
763,1,0,36.0,1,2,120.0,1
764,3,1,16.0,0,0,7.775,0
765,1,0,51.0,1,0,77.9583,1
766,1,1,28.0,0,0,39.6,0
767,3,0,30.5,0,0,7.75,0
768,3,1,28.0,1,0,24.15,0
769,3,1,32.0,0,0,8.3625,0
770,3,1,24.0,0,0,9.5,0
771,3,1,48.0,0,0,7.8542,0
772,2,0,57.0,0,0,10.5,0
773,3,1,28.0,0,0,7.225,0
774,2,0,54.0,1,3,23.0,1
775,3,1,18.0,0,0,7.75,0
776,3,1,28.0,0,0,7.75,0
777,3,0,5.0,0,0,12.475,1
778,3,1,28.0,0,0,7.7375,0
779,1,0,43.0,0,1,211.3375,1
780,3,0,13.0,0,0,7.2292,1
781,1,0,17.0,1,0,57.0,1
782,1,1,29.0,0,0,30.0,0
783,3,1,28.0,1,2,23.45,0
784,3,1,25.0,0,0,7.05,0
785,3,1,25.0,0,0,7.25,0
786,3,0,18.0,0,0,7.4958,1
787,3,1,8.0,4,1,29.125,0
788,3,1,1.0,1,2,20.575,1
789,1,1,46.0,0,0,79.2,0
790,3,1,28.0,0,0,7.75,0
791,2,1,16.0,0,0,26.0,0
792,3,0,28.0,8,2,69.55,0
793,1,1,28.0,0,0,30.6958,0
794,3,1,25.0,0,0,7.8958,0
795,2,1,39.0,0,0,13.0,0
796,1,0,49.0,0,0,25.9292,1
797,3,0,31.0,0,0,8.6833,1
798,3,1,30.0,0,0,7.2292,0
799,3,0,30.0,1,1,24.15,0
800,2,1,34.0,0,0,13.0,0
801,2,0,31.0,1,1,26.25,1
802,1,1,11.0,1,2,120.0,1
803,3,1,0.42,0,1,8.5167,1
804,3,1,27.0,0,0,6.975,1
805,3,1,31.0,0,0,7.775,0
806,1,1,39.0,0,0,0.0,0
807,3,0,18.0,0,0,7.775,0
808,2,1,39.0,0,0,13.0,0
809,1,0,33.0,1,0,53.1,1
810,3,1,26.0,0,0,7.8875,0
811,3,1,39.0,0,0,24.15,0
812,2,1,35.0,0,0,10.5,0
813,3,0,6.0,4,2,31.275,0
814,3,1,30.5,0,0,8.05,0
815,1,1,28.0,0,0,0.0,0
816,3,0,23.0,0,0,7.925,0
817,2,1,31.0,1,1,37.0042,0
818,3,1,43.0,0,0,6.45,0
819,3,1,10.0,3,2,27.9,0
820,1,0,52.0,1,1,93.5,1
821,3,1,27.0,0,0,8.6625,1
822,1,1,38.0,0,0,0.0,0
823,3,0,27.0,0,1,12.475,1
824,3,1,2.0,4,1,39.6875,0
825,3,1,28.0,0,0,6.95,0
826,3,1,28.0,0,0,56.4958,0
827,2,1,1.0,0,2,37.0042,1
828,3,1,28.0,0,0,7.75,1
829,1,0,62.0,0,0,80.0,1
830,3,0,15.0,1,0,14.4542,1
831,2,1,0.83,1,1,18.75,1
832,3,1,28.0,0,0,7.2292,0
833,3,1,23.0,0,0,7.8542,0
834,3,1,18.0,0,0,8.3,0
835,1,0,39.0,1,1,83.1583,1
836,3,1,21.0,0,0,8.6625,0
837,3,1,28.0,0,0,8.05,0
838,3,1,32.0,0,0,56.4958,1
839,1,1,28.0,0,0,29.7,1
840,3,1,20.0,0,0,7.925,0
841,2,1,16.0,0,0,10.5,0
842,1,0,30.0,0,0,31.0,1
843,3,1,34.5,0,0,6.4375,0
844,3,1,17.0,0,0,8.6625,0
845,3,1,42.0,0,0,7.55,0
846,3,1,28.0,8,2,69.55,0
847,3,1,35.0,0,0,7.8958,0
848,2,1,28.0,0,1,33.0,0
849,1,0,28.0,1,0,89.1042,1
850,3,1,4.0,4,2,31.275,0
851,3,1,74.0,0,0,7.775,0
852,3,0,9.0,1,1,15.2458,0
853,1,0,16.0,0,1,39.4,1
854,2,0,44.0,1,0,26.0,0
855,3,0,18.0,0,1,9.35,1
856,1,0,45.0,1,1,164.8667,1
857,1,1,51.0,0,0,26.55,1
858,3,0,24.0,0,3,19.2583,1
859,3,1,28.0,0,0,7.2292,0
860,3,1,41.0,2,0,14.1083,0
861,2,1,21.0,1,0,11.5,0
862,1,0,48.0,0,0,25.9292,1
863,3,0,28.0,8,2,69.55,0
864,2,1,24.0,0,0,13.0,0
865,2,0,42.0,0,0,13.0,1
866,2,0,27.0,1,0,13.8583,1
867,1,1,31.0,0,0,50.4958,0
868,3,1,28.0,0,0,9.5,0
869,3,1,4.0,1,1,11.1333,1
870,3,1,26.0,0,0,7.8958,0
871,1,0,47.0,1,1,52.5542,1
872,1,1,33.0,0,0,5.0,0
873,3,1,47.0,0,0,9.0,0
874,2,0,28.0,1,0,24.0,1
875,3,0,15.0,0,0,7.225,1
876,3,1,20.0,0,0,9.8458,0
877,3,1,19.0,0,0,7.8958,0
878,3,1,28.0,0,0,7.8958,0
879,1,0,56.0,0,1,83.1583,1
880,2,0,25.0,0,1,26.0,1
881,3,1,33.0,0,0,7.8958,0
882,3,0,22.0,0,0,10.5167,0
883,2,1,28.0,0,0,10.5,0
884,3,1,25.0,0,0,7.05,0
885,3,0,39.0,0,5,29.125,0
886,2,1,27.0,0,0,13.0,0
887,1,0,19.0,0,0,30.0,1
888,3,0,28.0,1,2,23.45,0
889,1,1,26.0,0,0,30.0,1
890,3,1,32.0,0,0,7.75,0
